product_category_name_english,total_items_sold,total_revenue,avg_review_score
books_general_interest,537,54182.54,4.48
books_technical,263,22901.07,4.37
food_drink,269,19337.77,4.37
luggage_accessories,1077,168778.12,4.34
costruction_tools_tools,103,17934.17,4.27
furniture_bedroom,103,23379.22,4.25
stationery,2466,269575.05,4.22
fashion_shoes,257,27814.83,4.22
perfumery,3340,443171.63,4.21
home_appliances,754,93301.78,4.21
