payment_type,total_payment_records,total_payment_value,avg_payment_value,avg_installments
credit_card,74586,12101094.88,162.2435159413295,3.5013139195023193
boleto,19191,2769932.58,144.33497889635768,1.0
voucher,5493,343013.19,62.44551064991808,1.0
debit_card,1486,208421.12,140.2564737550471,1.0
